departures_performed,seats,passengers,distance,air_time,unique_carrier,airline_id,origin_airport_id,origin,dest_airport_id,dest,aircraft_group,aircraft_type,year,month
49,0,0,207,3359,FX,20107,10157,ACV,14893,SMF,4,416,2018,6
4,744,625,1099,541,F9,20436,12889,LAS,13871,OMA,6,722,2018,5
1,9,0,130,41,8E,20331,13970,OTZ,10139,ABL,1,194,2019,6
1,166,160,429,63,UA,19977,13158,MAF,12266,IAH,6,614,2018,8
46,8737,8188,1990,10993,DL,19790,14869,SLC,12478,JFK,6,699,2019,6
13,988,693,625,1098,G7,20500,11433,DTW,10599,BHM,6,638,2018,8
9,1701,136,1131,1359,09Q,21161,14681,SAP,10185,AEX,6,614,2019,11
6,768,732,1250,910,UA,19977,14869,SLC,13930,ORD,6,698,2018,1
2,140,114,616,170,G7,20500,13204,MCO,10693,BNA,6,631,2019,8
1,69,52,694,97,OO,20304,10397,ATL,11003,CID,6,673,2019,1
3,18,2,8,14,K2,21820,12831,KUK,10405,ATT,0,79,2018,9
93,18504,16973,406,5792,DL,19790,10397,ATL,15304,TPA,6,622,2018,6
19,950,832,319,1008,OH,20397,12323,ILM,11278,DCA,6,629,2018,11
1,179,176,800,114,UA,19977,14771,SFO,16229,YVR,6,888,2019,11
1,175,85,791,108,WN,19393,11032,CUN,12191,HOU,6,614,2018,10
1,0,0,818,108,FX,20107,12339,IND,10721,BOS,6,622,2018,3
162,25956,22615,1061,26495,AA,19805,14492,RDU,11298,DFW,6,614,2019,12
1,179,113,370,56,UA,19977,14107,PHX,12892,LAX,6,888,2019,11
4,716,60,628,365,09Q,21161,12889,LAS,11292,DEN,6,617,2018,5
1,166,113,717,94,UA,19977,12266,IAH,13306,MID,6,614,2019,3
3,384,238,1096,441,AA,19805,13303,MIA,12953,LGA,6,698,2018,12
2,582,446,3273,875,AA,19805,11435,DUB,14100,PHL,6,687,2018,4
16,2800,2281,1546,2782,WN,19393,11292,DEN,13204,MCO,6,838,2018,11
8,1488,1185,692,804,G4,20368,14082,PGD,10693,BNA,6,694,2019,2
25,4375,3509,1504,5716,WN,19393,11618,EWR,10423,AUS,6,614,2018,11
20,4679,4061,1927,5338,DL,19790,11433,DTW,14747,SEA,6,623,2019,2
2,38,18,198,102,H6,20336,14125,PIZ,13970,OTZ,4,405,2018,1
1,168,106,1477,225,SY,20422,14635,RSW,15008,STC,6,614,2018,1
25,1895,1283,689,2259,CP,21167,14747,SEA,14869,SLC,6,673,2019,4
6,456,379,493,510,OO,20304,10140,ABQ,14869,SLC,6,638,2018,11
5,780,713,482,348,G4,20368,11996,GSP,14112,PIE,6,698,2018,8
1,70,0,1404,151,OO,20304,14869,SLC,10693,BNA,6,631,2019,4
145,21605,18329,821,16389,DL,19790,10397,ATL,13871,OMA,6,655,2018,8
6,1116,1062,1440,985,F9,20436,14107,PHX,13930,ORD,6,722,2019,3
91,13013,11246,837,10216,WN,19393,15304,TPA,12339,IND,6,612,2019,7
29,3187,2632,213,1429,DL,19790,12478,JFK,11278,DCA,6,608,2019,4
1,180,89,1039,0,VB,21342,11032,CUN,10693,BNA,6,694,2019,2
8,1248,997,1205,1224,G4,20368,12889,LAS,11637,FAR,6,698,2018,11
12,3024,2566,7487,10462,UA,19977,12892,LAX,15092,SYD,6,889,2019,6
6,858,642,1214,1038,WN,19393,12191,HOU,14869,SLC,6,612,2019,2
1,178,155,2404,281,AS,19930,13830,OGG,14893,SMF,6,888,2018,10
49,6272,5864,900,5436,UA,19977,13930,ORD,14321,PWM,6,698,2019,7
35,2660,2280,693,3854,OO,20304,13930,ORD,13851,OKC,6,673,2019,10
1,157,51,153,31,DL,19790,11996,GSP,10397,ATL,6,694,2019,10
25,1900,1712,1199,4152,MQ,20398,16271,YYZ,11298,DFW,6,673,2018,9
5,1,0,96,205,1YQ,21615,14843,SJU,11519,EIS,1,131,2019,2
38,2660,1802,406,2546,G7,20500,11292,DEN,12441,JAC,6,631,2019,1
21,0,0,156,1240,EM,20263,14107,PHX,12132,HII,4,416,2018,9
11,1826,1746,326,632,UA,19977,10529,BDL,12264,IAD,6,614,2019,6
4,512,467,964,459,AA,19805,12266,IAH,13303,MIA,6,698,2018,5
26,0,0,1307,0,M7,20446,12892,LAX,11874,GDL,6,626,2019,10
41,2050,1581,438,3239,OO,20304,15919,XNA,12266,IAH,6,629,2019,1
29,3712,3169,1814,5689,AA,19805,14107,PHX,14122,PIT,6,698,2019,2
2,152,62,838,250,OO,20304,12094,HDN,14771,SFO,6,673,2018,12
17,0,0,4024,0,L7,21376,13303,MIA,15567,VCP,6,626,2019,8
30,7848,6843,4093,0,AZ,19539,11651,FCO,10721,BOS,6,696,2019,9
1,14,3,2468,0,12Q,21423,15618,VNY,16217,YUL,7,771,2018,6
140,20020,18155,289,7869,WN,19393,10257,ALB,10821,BWI,6,612,2018,8
53,4028,3612,717,6407,OO,20304,13931,ORF,13930,ORD,6,673,2018,3
1,14,5,3460,0,VJT,21568,13094,LTN,11618,EWR,6,788,2018,3
1,6,3,19,13,K2,21820,15798,WNA,12855,KWT,0,35,2019,5
81,12150,9581,328,4283,AA,19805,11057,CLT,12451,JAX,6,694,2019,6
1,186,180,1410,0,AM,19534,11638,FAT,14312,PVR,6,614,2019,11
9,2070,1657,1782,2305,F9,20436,12339,IND,14679,SAN,6,699,2018,12
1,9,8,57,17,7S,20330,15245,TLA,13873,OME,4,479,2018,6
1,156,143,1001,132,G4,20368,11986,GRR,14761,SFB,6,698,2019,10
14,3892,2484,4013,6268,HA,19690,12169,HND,12758,KOA,6,696,2018,10
1,8,0,56,18,27Q,21652,16568,NJ4,15779,WKV,3,390,2018,7
24,144,36,22,338,GV,20455,15085,SXP,11550,EMK,0,26,2019,11
14,2785,2537,2554,4063,DL,19790,14747,SEA,13204,MCO,6,622,2019,10
32,5192,4425,746,3439,AA,19805,14207,POP,13303,MIA,6,614,2019,4
62,4712,3538,564,7319,QX,19687,14570,RNO,14747,SEA,4,482,2019,10
1,69,43,738,116,YX,20452,12953,LGA,13342,MKE,6,677,2018,1
30,5340,4919,2454,8749,AS,19930,14057,PDX,12478,JFK,6,888,2019,5
13,1660,796,451,877,UA,19977,11603,EUG,14771,SFO,6,698,2019,10
20,3000,2710,646,1753,AA,19805,11057,CLT,10257,ALB,6,694,2019,11
14,0,0,348,753,FX,20107,13244,MEM,13495,MSY,7,730,2018,2
1,16,15,1616,256,LF,21635,14843,SJU,15167,TEB,6,669,2018,11
17,2975,2813,1554,3316,WN,19393,11259,DAL,10721,BOS,6,614,2018,6
30,4290,3945,1076,4050,WN,19393,12889,LAS,15370,TUL,6,612,2019,7
5,380,253,501,399,OO,20304,14869,SLC,11638,FAT,6,673,2019,8
24,1823,1452,841,2799,9E,20363,10397,ATL,13029,LNK,6,638,2018,6
1,0,0,319,209,KLQ,20372,15153,TCL,11871,GDC,6,635,2019,6
4,640,604,1586,857,AA,19805,13269,MGA,11298,DFW,6,614,2018,3
4,700,629,695,406,WN,19393,10693,BNA,13487,MSP,6,614,2019,8
2,356,326,1980,537,AS,19930,14312,PVR,14057,PDX,6,634,2018,3
1,156,136,1269,144,G4,20368,13871,OMA,14082,PGD,6,698,2019,12
41,6806,5830,804,4654,UA,19977,11292,DEN,14570,RNO,6,614,2019,4
146,20878,15316,368,8307,WN,19393,14869,SLC,12889,LAS,6,612,2019,10
8,1152,842,1486,0,9V,21142,10658,BLA,13303,MIA,6,617,2018,9
5,30,11,17,55,K2,21820,12779,KPN,11227,CYF,0,35,2019,5
3,525,444,110,76,WN,19393,15376,TUS,14107,PHX,6,614,2018,8
8,1400,1134,1334,1217,WN,19393,14679,SAN,13198,MCI,6,614,2019,3
1,189,88,1123,181,DL,19790,11433,DTW,11292,DEN,6,699,2018,12
23,0,0,511,1673,FX,20107,10868,CAE,13244,MEM,6,622,2018,5
17,3287,2996,2688,5775,DL,19790,14747,SEA,12758,KOA,6,622,2019,11
2,356,88,1542,414,AS,19930,10299,ANC,14057,PDX,6,634,2019,3
5,900,762,994,728,F9,20436,13204,MCO,10423,AUS,6,694,2018,12
8,1200,1056,1069,1179,B6,20409,11697,FLL,12478,JFK,6,694,2019,1
31,8184,6976,5451,0,SQ,19572,12892,LAX,13744,NRT,6,637,2018,12
1,9,0,253,60,7S,20330,10299,ANC,10170,ADQ,4,479,2018,1
2,359,184,690,0,Y4,21351,11874,GDL,14683,SAT,6,722,2019,10
16,0,0,261,634,FX,20107,12339,IND,11042,CLE,6,622,2018,7
28,4004,3382,2439,9946,WN,19393,10821,BWI,14831,SJC,6,612,2018,2
18,2268,1833,801,1937,UA,19977,13930,ORD,11298,DFW,6,612,2019,9
3,228,181,322,154,YV,20378,11057,CLT,12264,IAD,6,673,2018,12
2,0,0,297,87,FX,20107,12339,IND,15412,TYS,6,691,2019,7
16,1240,978,460,1129,YV,20378,11298,DFW,13198,MCI,6,638,2018,7
14,2539,1547,1442,0,Y4,21351,12892,LAX,13370,MLM,6,722,2019,10
31,2976,2453,1014,0,TA,19574,13269,MGA,13303,MIA,6,678,2019,3
1,168,144,1209,159,SY,20422,10529,BDL,11973,GPT,6,614,2018,8
20,0,0,78,711,FX,20107,10154,ACK,14307,PVD,4,416,2019,12
29,4147,3511,804,3423,WN,19393,11292,DEN,14570,RNO,6,612,2019,2
1,160,141,144,35,AA,19805,12451,JAX,13204,MCO,6,614,2019,7
24,4272,3393,2378,6545,AS,19930,14747,SEA,14100,PHL,6,888,2019,1
1,179,0,1082,156,09Q,21161,11764,FRG,11697,FLL,6,617,2019,12
1,179,170,829,120,UA,19977,13204,MCO,12339,IND,6,888,2018,8
28,4480,3557,746,2781,AA,19805,13303,MIA,14207,POP,6,614,2018,2
1,76,75,667,108,YX,20452,10994,CHS,11433,DTW,6,673,2019,1
1,8,3,169,65,4B,21599,10140,ABQ,14588,ROW,4,479,2019,5
4,304,205,474,287,YX,20452,14524,RIC,10721,BOS,6,673,2019,7
5,660,608,1416,877,DL,19790,13487,MSP,14635,RSW,6,698,2019,7
1,14,0,470,84,27Q,21652,14530,RIL,12889,LAS,6,750,2019,12
30,8159,7138,4965,15949,AA,19805,11298,DFW,13156,MAD,6,627,2019,9
79,6003,4488,679,8163,CP,21167,14747,SEA,14771,SFO,6,673,2019,1
1,69,8,1067,199,YX,20452,11298,DFW,14122,PIT,6,677,2018,10
1,65,30,437,126,OH,20397,14685,SAV,14098,PHF,6,631,2018,10
1,180,178,67,20,DL,19790,13930,ORD,13342,MKE,6,888,2018,6
30,1500,1105,756,3399,MQ,20398,11301,DGO,11298,DFW,6,675,2019,8
9,1620,1384,1113,1368,G4,20368,14082,PGD,13367,MLI,6,694,2018,1
20,3610,2667,1278,0,Y4,21351,13891,ONT,11874,GDL,6,722,2018,11
13,3455,2991,4034,0,AD,21638,11697,FLL,15567,VCP,6,696,2018,6
1,0,0,509,70,5X,19917,13061,LRD,11540,ELP,6,622,2018,11
70,9800,8001,247,3165,AA,19805,14683,SAT,11298,DFW,6,655,2018,1
23,6739,6366,4052,0,LH,19554,11618,EWR,13518,MUC,6,359,2019,7
6,390,266,268,297,OO,20304,13930,ORD,14633,RST,6,631,2019,9
2,100,64,164,79,MQ,20398,11049,CLL,11298,DFW,6,675,2019,2
80,4000,2837,190,3420,EV,20366,10185,AEX,12266,IAH,6,675,2019,4
84,12012,9412,447,5528,WN,19393,10397,ATL,11066,CMH,6,612,2018,8
25,4375,4010,1154,3460,WN,19393,11292,DEN,11066,CMH,6,614,2018,7
1,157,126,408,116,DL,19790,11278,DCA,10868,CAE,6,694,2018,2
22,3894,3173,3081,0,EI,19623,14918,SNN,12478,JFK,6,696,2018,9
92,13156,9633,971,12851,WN,19393,12391,ISP,13204,MCO,6,612,2018,5
4,700,597,1356,767,WN,19393,11259,DAL,14570,RNO,6,614,2019,3
11,1859,1556,2425,3591,UA,19977,11618,EWR,14679,SAN,6,622,2018,1
1,166,109,485,78,G4,20368,14761,SFB,11973,GPT,6,655,2018,10
13,4017,3756,6479,0,CZ,20133,15868,WUH,14771,SFO,6,637,2019,6
1,69,58,335,55,YX,20452,10785,BTV,14100,PHL,6,677,2019,6
38,5434,4387,935,5428,WN,19393,15370,TUL,14107,PHX,6,612,2019,12
18,900,819,473,1434,AX,20237,10792,BUF,13930,ORD,6,675,2019,8
