departures_performed,seats,passengers,distance,air_time,unique_carrier,airline_id,origin_airport_id,origin,dest_airport_id,dest,aircraft_group,aircraft_type,year,month
2,356,156,1329,308,AS,19930,12892,LAX,16306,ZLO,6,634,2018,4
30,5640,5221,1773,7213,AA,19805,11057,CLT,14107,PHX,6,622,2019,5
1,8,4,204,72,04Q,21080,10821,BWI,12197,HPN,4,479,2016,12
30,4350,3320,973,3850,NK,20416,11697,FLL,11066,CMH,6,698,2018,10
2,0,0,4259,894,KD,21629,13619,NC1,15906,XCR,7,740,2017,5
6,0,0,1330,0,P3,21780,10397,ATL,13252,MEX,8,820,2018,9
1,8,7,107,41,GV,20455,15554,VAK,11227,CYF,4,416,2019,8
30,2280,1767,783,3024,OO,20304,13930,ORD,10529,BDL,6,673,2017,11
1,9,6,74,29,H6,20336,13970,OTZ,10640,BKC,4,416,2016,11
2,144,46,404,128,DL,19790,11618,EWR,11042,CLE,6,622,2018,10
2,0,0,156,66,ABX,20453,13514,MTY,12206,HRL,6,626,2016,2
61,3987,2791,708,6294,OH,20397,13485,MSN,11057,CLT,6,631,2016,5
4,0,0,1017,0,MP,20148,13303,MIA,12010,GUA,7,740,2015,3
1,65,45,331,43,EV,20366,10397,ATL,11641,FAY,6,631,2015,4
7,1491,1426,1721,1375,UA,19977,14747,SEA,13930,ORD,6,623,2016,4
19,3021,2882,2402,5400,AS,19930,14747,SEA,11618,EWR,6,614,2019,8
1,50,44,1021,166,OO,20304,14689,SBA,10558,BFF,6,629,2019,7
5,185,98,212,342,PT,20427,14100,PHL,13931,ORF,4,483,2016,10
1,12,4,2584,324,27Q,21652,12197,HPN,14771,SFO,6,688,2018,11
2,350,246,1504,368,WN,19393,14771,SFO,10423,AUS,6,614,2019,7
66,10560,9211,224,2732,AA,19805,11298,DFW,12266,IAH,6,614,2018,3
1,10,0,223,42,0WQ,21352,10800,BUR,12889,LAS,6,671,2018,6
2,18,8,16,20,H6,20336,15257,TLT,10241,AKI,4,416,2018,9
12,1920,1260,1814,3149,DL,19790,12339,IND,12892,LAX,6,614,2016,12
7,42,9,22,91,H6,20336,13770,NUP,10551,BET,0,35,2015,10
15,2235,1562,980,2173,DL,19790,14100,PHL,13487,MSP,6,655,2016,1
2,100,65,343,119,EV,20366,10874,CAK,13930,ORD,6,629,2018,12
28,4857,4538,2153,7085,DL,19790,14107,PHX,12478,JFK,6,622,2016,11
