,month,airline_id,carrier,total_gallons,total_cost,year
511,12,20366.0,EV,85946.0,239935,2016
512,12,20436.0,F9,18878199.0,28228960,2016
513,12,20107.0,FX,108339193.0,163130000,2016
514,12,20368.0,G4,15863821.0,27856572,2016
515,12,20166.0,GFQ,320450.0,653339,2016
516,12,20402.0,GL,454005.0,1022779,2016
517,12,19690.0,HA,21637621.0,33098981,2016
518,12,20310.0,K8,234956.0,414541,2016
519,12,20370.0,KAQ,5293232.0,8569517,2016
520,12,21629.0,KD,1433197.0,3047462,2016
521,12,21634.0,KH,478937.0,750888,2016
522,12,20372.0,KLQ,128713.0,312009,2016
523,12,20169.0,L2,141535.0,298714,2016
524,12,20151.0,M6,2450305.0,4241844,2016
525,12,20405.0,N8,1171509.0,2177971,2016
526,12,20108.0,NC,506112.0,902651,2016
527,12,20416.0,NK,26997853.0,45812193,2016
528,12,20304.0,OO,5655072.0,10848121,2016
529,12,20177.0,PFQ,452769.0,846521,2016
530,12,20100.0,PO,17475435.0,25490535,2016
531,12,20422.0,SY,5330238.0,9426790,2016
532,12,20447.0,U7,618115.0,1031534,2016
533,12,19977.0,UA,273280870.0,415049145,2016
534,12,21171.0,VX,17051098.0,25889818,2016
535,12,20308.0,WE,357767.0,582292,2016
536,12,20287.0,WP,165446.0,252375,2016
537,12,20377.0,X9,2174816.0,4153325,2016
538,12,20207.0,XP,568491.0,1131010,2016
539,12,20046.0,ZW,7716.0,24699,2016
540,12,19393.0,WN,170448086.0,312741891,2016
541,1,21161.0,09Q,352605.0,977947,2017
542,1,21352.0,0WQ,26018.0,81258,2017
543,1,21492.0,1BQ,219309.0,1541032,2017
544,1,21645.0,23Q,82901.0,164931,2017
545,1,20408.0,5V,343787.0,764031,2017
546,1,19917.0,5X,64379000.0,95066000,2017
547,1,20007.0,5Y,30535372.0,55382146,2017
548,1,19874.0,8C,602543.0,1124468,2017
549,1,20190.0,9S,5451526.0,11448204,2017
550,1,19805.0,AA,281546168.0,440888323,2017
551,1,20453.0,ABX,17328.0,29284,2017
552,1,19930.0,AS,39857764.0,69840329,2017
553,1,20409.0,B6,65243539.0,110137331,2017
554,1,19790.0,DL,258186982.0,430704972,2017
555,1,21650.0,EE,427760.0,808467,2017
556,1,20366.0,EV,87798.0,241962,2017
557,1,20436.0,F9,18870467.0,29538698,2017
558,1,20107.0,FX,91096231.0,145833000,2017
559,1,20368.0,G4,14466463.0,26151460,2017
560,1,20166.0,GFQ,168885.0,363632,2017
561,1,20402.0,GL,707760.0,1545829,2017
562,1,19690.0,HA,21508669.0,34732170,2017
563,1,20310.0,K8,94508.0,199931,2017
564,1,20370.0,KAQ,3573983.0,6464788,2017
565,1,21629.0,KD,656035.0,1323075,2017
566,1,21634.0,KH,436860.0,723082,2017
