month,airline_id,carrier,carrier_name,total_gallons,total_cost,year
8,20408.0,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,459018.0,1084816,2019
6,19790.0,DL,Delta Air Lines Inc.,336183657.0,712864450,2019
12,20304.0,OO,SkyWest Airlines Inc.,5240799.0,8346965,2015
8,21974.0,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",0.0,0,2019
10,21167.0,CP,Compass Airlines,0.0,0,2017
11,20107.0,FX,Federal Express Corporation,105424004.0,231212329,2018
6,20169.0,L2,Lynden Air Cargo Airlines,311281.0,652532,2017
5,20310.0,K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",235358.0,44422,2017
10,20107.0,FX,Federal Express Corporation,98566651.0,172101000,2017
7,20366.0,EV,ExpressJet Airlines LLC,0.0,0,2019
3,20304.0,OO,SkyWest Airlines Inc.,6067876.0,8768054,2016
4,19805.0,AA,American Airlines Inc.,293519381.0,463057869,2017
1,20366.0,EV,ExpressJet Airlines Inc.,0.0,0,2019
11,20416.0,NK,Spirit Air Lines,29148741.0,57269753,2017
7,19687.0,QX,Horizon Air,0.0,0,2018
